rating,acidity_structure,aftertaste,aroma,body,flavor,agtron,coffee_origin,est_price,roast_level,roaster,roaster_location
93,9.0,8.0,9.0,8.0,9.0,60/78,"Caranavi, Bolivia",$30.00/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
92,8.0,8.0,9.0,8.0,9.0,60/78,"Matagalpa growing region, Nicaragua",$160.00/12 ounces,Medium-Light,Eccentricity Coffee Co.,"Cleveland, Ohio"
94,9.0,8.0,9.0,9.0,9.0,59/77,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$28.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,60/77,"Yirgacheffe growing region, southern Ethiopia",$20.50/12 ounces,Medium-Light,Regent Coffee,"Glendale, California"
93,9.0,8.0,9.0,8.0,9.0,60/77,"La Sierra, Cauca Department, Colombia",$18.99/8 ounces,Medium-Light,Merge Coffee Company,"Harrisonburg, Virginia"
91,7.0,8.0,9.0,8.0,9.0,58/77,Colombia; Ethiopia,NT $459/8 ounces,Medium-Light,Buon Caffe,"Taipei, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,56/74,"San Lucas Tolimán, Lake Atitlán growing region, Guatemala",$16.00/12 ounces,Medium-Light,El Gran Cafe,"Antigua, Guatemala"
94,9.0,8.0,9.0,9.0,9.0,65/81,"Valle de Cauca, Colombia",NT$500/4 ounces,Light,VERYTIME,"Taoyuan, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,64/82,"Cauca Department, Colombia",NT$700/8 ounces,Light,Dr. Young Cafe,"Taipei, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,64/82,"Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia",$8.40/4 ounces,Light,Bassline Coffee,"Oakland, California"
93,9.0,8.0,9.0,8.0,9.0,56/74,"Nyeri County, south-central Kenya",NT $520/227 grams,Medium-Light,AKA Coffee Roasters,"Xitun District, Taichung, Taiwan"
